Date,Open,High,Low,Close,Adj Close,Volume
2001-05-01,27.400000,29.100000,26.950001,27.950001,21.908005,2692600
2001-06-01,27.700001,28.490000,26.840000,27.670000,21.688536,925900
2001-07-01,27.639999,29.350000,26.600000,28.900000,22.701677,1327000
2001-08-01,28.799999,29.180000,25.940001,26.370001,20.714312,2540500
2001-09-01,26.440001,27.170000,20.000000,22.969999,18.043514,3313200
2001-10-01,23.000000,25.430000,22.469999,24.180000,19.051092,1666500
2001-11-01,24.080000,27.740000,24.080000,27.400000,21.588097,3376700
2001-12-01,27.150000,29.150000,27.000000,28.600000,22.533564,5184000
2002-01-01,28.850000,29.540001,27.650000,29.540001,23.310709,8303500
2002-02-01,29.450001,30.250000,28.150000,29.700001,23.436968,8626400
2002-03-01,29.700001,30.820000,29.360001,30.040001,23.705278,5258600
2002-04-01,29.350000,30.540001,27.920000,29.200001,23.071434,6366000
2002-05-01,29.250000,30.410000,28.400000,29.049999,22.952915,4652400
2002-06-01,29.000000,29.379999,26.620001,27.469999,21.704531,11384200
2002-07-01,27.469999,27.750000,21.200001,24.190001,19.147694,2186100
2002-08-01,24.150000,26.080000,21.889999,24.920000,19.725521,1832100
2002-09-01,24.420000,25.900000,22.360001,22.670000,17.944521,1791800
2002-10-01,22.650000,25.400000,20.670000,24.200001,19.179581,4065400
2002-11-01,24.000000,26.980000,23.620001,25.320000,20.067225,3174300
2002-12-01,26.049999,26.280001,22.559999,23.110001,18.315701,5252500
2003-01-01,23.330000,24.620001,22.000000,22.340000,17.745914,2434900
2003-02-01,22.350000,22.660000,20.969999,22.240000,17.666475,1398900
2003-03-01,22.400000,24.280001,20.650000,22.730000,18.055717,7114200
2003-04-01,22.730000,25.650000,22.610001,25.389999,20.197815,5993500
2003-05-01,25.389999,26.770000,24.840000,26.740000,21.271755,4428700
2003-06-01,27.049999,28.260000,26.680000,27.090000,21.550190,6326300
2003-07-01,26.850000,28.440001,26.570000,27.590000,21.978439,3353200
2003-08-01,27.650000,29.100000,26.799999,29.000000,23.101648,4465900
2003-09-01,29.250000,29.520000,27.379999,27.580000,21.970465,2728100
2003-10-01,27.820000,30.299999,27.820000,30.090000,24.001291,5980400
2003-11-01,30.299999,30.620001,29.090000,30.360001,24.216656,2708200
2003-12-01,30.600000,31.570000,29.639999,31.490000,25.118011,2608400
2004-01-01,31.620001,32.340000,30.959999,31.309999,25.042618,2572100
2004-02-01,31.299999,32.340000,30.870001,31.990000,25.586502,2753500
2004-03-01,32.080002,32.580002,30.549999,31.750000,25.394543,5311600
2004-04-01,31.879999,32.540001,31.270000,31.389999,25.140272,4938900
2004-05-01,31.350000,31.770000,29.730000,31.590000,25.300459,8936300
2004-06-01,31.450001,32.180000,31.320000,31.629999,25.332491,5965800
2004-07-01,31.700001,31.709999,29.740000,30.430000,24.403505,5468600
2004-08-01,30.430000,30.690001,28.900000,30.370001,24.355383,7832000
2004-09-01,30.299999,31.549999,30.299999,31.200001,25.021008,11394300
2004-10-01,31.209999,32.590000,31.059999,32.459999,26.069653,10471300
2004-11-01,32.480000,34.509998,32.380001,33.820000,27.161926,12354800
2004-12-01,33.950001,35.459999,33.930000,35.290001,28.342524,8844700
2005-01-01,35.450001,35.549999,33.230000,33.779999,27.214277,5464600
2005-02-01,33.820000,34.360001,33.330002,33.599998,27.069252,5813500
2005-03-01,33.599998,34.400002,32.709999,33.160000,26.714781,10675600
2005-04-01,33.299999,33.470001,30.620001,31.049999,25.050625,12504000
2005-05-01,31.920000,33.180000,31.040001,32.970001,26.599651,9032100
2005-06-01,33.099998,33.880001,32.680000,32.779999,26.446350,7248700
2005-07-01,32.950001,35.029999,32.450001,34.639999,27.987787,8210800
2005-08-01,34.700001,34.820000,33.009998,33.500000,27.066710,18419300
2005-09-01,33.549999,33.950001,31.600000,32.490002,26.250677,39582700
2005-10-01,32.599998,32.650002,30.740000,31.830000,25.763239,33017400
2005-11-01,31.879999,34.270000,31.760000,33.099998,26.791180,24645900
2005-12-01,33.250000,33.889999,32.630001,32.650002,26.426956,21401600
2006-01-01,32.500000,34.130001,32.250000,33.230000,27.033743,16803400
2006-02-01,33.169998,33.840000,32.849998,33.470001,27.228994,12151400
2006-03-01,33.520000,34.090000,33.009998,33.660000,27.383562,19923900
2006-04-01,33.810001,34.369999,33.290001,34.090000,27.739090,14047300
2006-05-01,34.080002,34.820000,32.959999,33.520000,27.275290,20160900
2006-06-01,33.599998,34.150002,32.410000,33.389999,27.169500,19997400
2006-07-01,33.509998,33.509998,31.129999,32.279999,26.322422,19984600
2006-08-01,32.230000,33.209999,31.559999,32.919998,26.844305,34175100
2006-09-01,32.990002,35.410000,32.720001,34.950001,28.499643,35060800
2006-10-01,34.930000,37.470001,34.910000,37.209999,30.400908,37821200
2006-11-01,37.270000,38.230000,36.430000,37.680000,30.784889,38942100
2006-12-01,37.639999,38.779999,37.349998,38.360001,31.340469,21638300
2007-01-01,38.570000,39.720001,38.029999,39.459999,32.354401,25593800
2007-02-01,39.470001,40.209999,37.680000,38.279999,31.386877,26824900
2007-03-01,38.240002,38.810001,36.860001,38.029999,31.181900,35189100
2007-04-01,38.090000,39.840000,37.910000,38.930000,31.977789,28380400
2007-05-01,38.880001,40.230000,37.830002,40.099998,32.938847,41257000
2007-06-01,40.259998,40.430000,38.790001,39.330002,32.306351,51348500
2007-07-01,39.400002,40.700001,36.939999,37.000000,30.446131,60781300
2007-08-01,37.009998,37.709999,34.240002,37.230000,30.635393,96653800
2007-09-01,37.029999,39.090000,35.540001,36.830002,30.306250,75448500
2007-10-01,36.849998,38.250000,35.220001,36.650002,30.217493,96327700
2007-11-01,36.450001,36.509998,32.630001,34.650002,28.568529,85848300
2007-12-01,34.869999,35.110001,32.480000,32.700001,26.960762,57974800
2008-01-01,32.990002,32.990002,27.910000,32.580002,27.053839,163843600
2008-02-01,32.580002,33.139999,31.000000,31.320000,26.007559,123293300
2008-03-01,31.190001,32.560001,29.110001,30.719999,25.509333,136581400
2008-04-01,31.139999,32.880001,30.490000,31.450001,26.149921,107605400
2008-05-01,32.230000,33.759998,31.590000,32.310001,26.864986,86645200
2008-06-01,32.230000,32.639999,28.209999,28.480000,23.680435,113791500
2008-07-01,27.990000,29.850000,25.930000,28.530001,23.808022,163233000
2008-08-01,28.610001,31.940001,27.969999,30.500000,25.451967,145426400
2008-09-01,31.150000,34.500000,26.790001,27.900000,23.282293,186626600
2008-10-01,28.850000,28.850000,18.520000,22.980000,19.244183,206127500
2008-11-01,22.670000,23.580000,16.120001,20.490000,17.158972,167094900
2008-12-01,19.980000,22.299999,18.700001,21.570000,18.063402,164396100
2009-01-01,21.620001,23.100000,19.090000,19.280001,16.268377,152499200
2009-02-01,18.870001,20.340000,17.260000,17.530001,14.791737,144296400
2009-03-01,17.410000,20.680000,15.850000,19.650000,16.580584,175191600
2009-04-01,20.020000,23.870001,19.110001,23.290001,19.757900,149959600
2009-05-01,23.410000,24.600000,22.110001,23.120001,19.613686,178330800
2009-06-01,23.540001,24.719999,22.209999,23.080000,19.579748,184711200
2009-07-01,23.250000,25.520000,21.700001,25.270000,21.529188,149954000
2009-08-01,25.580000,26.920000,24.940001,26.160000,22.287445,126802800
2009-09-01,26.020000,28.090000,25.400000,27.469999,23.403515,126390300
2009-10-01,27.400000,28.770000,26.459999,26.820000,22.923975,132739100
2009-11-01,26.820000,29.549999,26.620001,28.620001,24.462500,154621400
2009-12-01,28.870001,30.320000,28.730000,29.770000,25.445448,108246200
2010-01-01,29.900000,30.540001,28.889999,28.910000,24.845415,111659600
2010-02-01,28.969999,30.600000,28.209999,30.520000,26.229071,117142400
2010-03-01,30.670000,33.290001,30.580000,32.840000,28.222893,131991800
2010-04-01,33.009998,36.130001,32.840000,34.820000,29.981602,160340300
2010-05-01,34.990002,35.689999,30.340000,32.369999,27.872032,320940100
2010-06-01,32.150002,33.119999,29.070000,29.129999,25.082247,229083600
2010-07-01,29.240000,32.180000,28.639999,31.440001,27.158524,191077900
2010-08-01,31.879999,32.410000,29.799999,30.190001,26.078754,161225100
2010-09-01,30.610001,33.889999,30.610001,33.410000,28.860250,148358900
2010-10-01,33.580002,35.490002,33.110001,35.259998,30.556227,140940800
2010-11-01,35.330002,36.610001,35.020000,36.150002,31.327499,176047400
2010-12-01,36.639999,37.880001,36.619999,37.410000,32.419418,104460800
2011-01-01,37.709999,38.410000,37.029999,37.180000,32.410137,118246100
2011-02-01,37.419998,40.020000,37.290001,39.410000,34.354046,97982900
2011-03-01,39.470001,39.580002,37.380001,39.049999,34.040241,186375400
2011-04-01,39.290001,40.720001,38.459999,40.549999,35.466232,131560100
2011-05-01,40.709999,41.020000,39.430000,40.439999,35.370018,142829900
2011-06-01,40.290001,40.360001,37.520000,40.209999,35.168850,211152700
2011-07-01,40.290001,41.779999,39.290001,39.650002,34.801517,153303100
2011-08-01,40.099998,40.099998,33.419998,37.570000,32.975861,345527100
2011-09-01,37.549999,38.230000,34.669998,34.860001,30.597246,247165900
2011-10-01,34.610001,40.169998,33.070000,39.020000,34.365917,226896800
2011-11-01,38.049999,39.610001,36.330002,38.740002,34.119320,120628300
2011-12-01,38.689999,39.750000,37.369999,39.020000,34.365917,117443800
2012-01-01,39.669998,41.900002,39.230000,41.320000,36.602840,80019100
2012-02-01,41.400002,43.509998,41.209999,43.189999,38.259346,95490800
2012-03-01,43.310001,45.560001,42.669998,45.090000,39.942448,113505900
2012-04-01,45.020000,46.080002,43.419998,45.610001,40.527485,145136100
2012-05-01,45.720001,46.270000,41.730000,43.099998,38.297184,201798500
2012-06-01,42.369999,44.330002,41.439999,43.779999,38.901402,184298100
2012-07-01,43.810001,44.580002,42.450001,43.540001,38.824913,123443100
2012-08-01,43.830002,45.750000,43.009998,45.549999,40.617249,101231000
2012-09-01,45.459999,48.009998,45.150002,46.790001,41.722965,80518100
2012-10-01,46.910000,47.970001,45.430000,46.070000,41.224312,97553400
2012-11-01,46.250000,47.630001,44.660000,47.529999,42.530746,131939800
2012-12-01,47.830002,48.400002,46.240002,47.439999,42.450207,134694800
2013-01-01,48.330002,50.980000,48.070000,50.130001,45.145012,106343800
2013-02-01,50.470001,51.230000,49.400002,50.930000,45.865463,110309900
2013-03-01,50.439999,53.049999,50.340000,53.000000,47.729610,91982900
2013-04-01,52.990002,54.689999,51.950001,54.610001,49.326694,123807400
2013-05-01,54.520000,58.090000,54.259998,56.119999,50.690620,108725100
2013-06-01,56.270000,57.380001,53.959999,56.400002,50.943531,142903600
2013-07-01,56.759998,59.900002,56.500000,59.369999,53.798008,116695500
2013-08-01,59.860001,60.750000,57.310001,57.680000,52.266613,104386300
2013-09-01,58.330002,61.750000,57.860001,60.630001,54.939754,113198600
2013-10-01,60.599998,63.810001,58.450001,63.410000,57.627472,145923600
2013-11-01,63.709999,65.860001,62.250000,65.599998,59.617764,100319300
2013-12-01,65.519997,66.849998,64.050003,66.830002,60.735596,92822000
2014-01-01,66.699997,66.830002,62.430000,62.820000,57.320038,142214900
2014-02-01,62.759998,67.070000,61.029999,66.839996,60.988083,133819000
2014-03-01,66.160004,67.849998,63.529999,64.720001,59.053699,124119200
2014-04-01,64.910004,66.250000,61.840000,63.840000,58.434029,129748200
2014-05-01,63.919998,65.699997,62.630001,65.680000,60.118217,92951100
2014-06-01,65.800003,67.260002,65.400002,66.739998,61.088455,78274600
2014-07-01,66.910004,68.129997,65.839996,65.889999,60.503204,144150200
2014-08-01,65.699997,69.029999,65.160004,68.820000,63.193668,110599000
2014-09-01,68.849998,69.330002,66.589996,66.690002,61.237804,88460800
2014-10-01,66.540001,68.410004,61.680000,68.099998,62.741692,194372500
2014-11-01,68.260002,71.949997,66.930000,71.809998,66.159775,118104800
